"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"postgres","app_base","app_borr","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","app_borr_fbp_data_sbms_stat","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","app_loan_prps","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","app_loan_prps_sprt_doc","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","borr","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","borr_app_stat","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","borr_doc","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","sprt_doc","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","rel_auth","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","app","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"postgres","app_base","embedded_enty_det","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
